name,style,brewery,beer name (full),description,abv,min ibu,max ibu,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews
altbier,altbier,uerige obergarige hausbrauerei gmbh / zum uerige,uerige obergarige hausbrauerei gmbh / zum uerige uerige altbier (classic),"notes:uerige alt is the most bittered beer in germany. in spite of this (or just for that reason), this legendary altbier from dusseldorf is so full-bodied, aromatic and wholesome.our top-fermented specialty has been brewed since 1862 from barley malt, caramel malt, roasted malt, hops, water - and with our very special uerige yeast.our uerige alt is regularly chosen among the ten best beers in germany. it has an alcohol content of 4.7% and a minimum fresh date of eight weeks.unser uerige alt wird regelmaßig unter die zehn besten biere deutschlands gewahlt. es hat einen alkoholgehalt von 4,7% und ein mindestfrischedatum von acht wochen.\t",4.7,25,50,34,48,9,55,59,25,1,32,68,12,121,3.887701,4.061497,3.949198,4.053476,4.101604,187
gerst amber,altbier,yazoo brewing company,yazoo brewing company gerst amber,"notes:check out a piece of nashville brewing history! gerst brewery was the original nashville brewery, but never recovered after prohibition. we are excited to partner with the chandler family, owners of the gerst haus restaurant, to bring this beer back right where it belongs – nashville, tennessee.this is a very “clean” beer, with mostly german malts and a hint of flaked maize, remaining as true as possible to the original gerst recipe.11 ibus\t",5.1,25,50,10,19,1,21,30,11,4,8,24,2,65,3.833333,4.333333,3.833333,4,4,3
ad astra ale,altbier,free state brewing co.,free state brewing co. ad astra ale,"notes:this ale is the first brewed in kansas since pioneering days. the name ""ad astra comes from the kansas state motto - ad astra per aspera, latin words meaning ""to the stars through difficulties"". we've blended pale, caramel, and munich malts for a rich amber beer. the hops balance this malty sweetness, and we've chosen northern brewer and fuggles hops for their flavor.24 ibu\t",5.6,25,50,7,30,5,43,43,13,1,13,50,6,93,3.52381,3.904762,3.77381,3.690476,3.869048,42
copperhead ale,altbier,fordham brewing company,fordham brewing company fordham copperhead ale,notes:the name isn’t a coincidence. this dusseldorf style altbier blends caramelized malted barley with pronounced hop character to create a subtle copper hue. copperhead ale is famous for its signature balanced flavor & impeccable smoothness.\t,5.2,25,50,9,32,9,29,54,13,1,11,32,2,112,3.202381,3.541667,3.267857,3.303571,3.482143,84
ten years alt,altbier,victory brewing company,victory brewing company ten years alt,"notes:a doppelsticke altbier brewed for victory brewing's 10th anniversary, released in feb 2006 and debuting at beeradvocate's 3rd annual extreme beer fest in 2006. a dark ale with malty depth, but with the fragrance and bold, brassy tang of european hops. 8.5%. according to victory, they believe that this could be the first doppelsticke brewed in the us.\t",8.5,25,50,14,55,31,48,105,31,0,37,59,19,115,3.834661,4,3.982072,3.99004,3.886454,251
three blind mice,altbier,mother's brewing company,mother's brewing company three blind mice,"notes:three blind mice is inspired by our favorite qualities from english brown ales, german altbiers, and irish reds. mother’s trio of beer connoisseurs sipped away many a night, working to find this ideal combination. mother’s beautiful brown beer is medium-bodied with caramel, toffee, and subtle chocolate malt flavors—all balanced by moderate hop notes and a clean, dry finish.three blind mice combines components of several malty beers for the unique brown beer experience you've been missing. after lots of research to find the perfect styles for our base, the clear winners were the lighter body and caramel characters of irish red ales, the soft chocolate and toffee flavors from english brown ales, and the hop component and balance of german altbiers. we used traditional elements from each beer style and added our own touch for one incredible brown beer.24 ibu\t",5.5,25,50,11,58,6,47,49,5,1,3,50,5,110,3.5,3.785714,3.642857,3.642857,3.642857,7
ishmael,altbier,rising tide brewing company,rising tide brewing company ishmael,"notes:ishmael is our richly-flavored american copper ale. this american interpretation of the altbiers of dusseldorf is brewed with continental munich malt, american-grown hops, and a clean-fermenting ale yeast to produce a slightly sweet and malty beer balanced by a firm bitterness.\t",4.9,25,50,17,41,1,55,43,18,1,20,80,7,103,3.528571,3.914286,3.814286,3.914286,3.9,35
headwall alt,altbier,tuckerman brewing co.,tuckerman brewing co. headwall alt,"notes:this is traditional style of altbeir from dusseldorf, germany. alt literally means old in german. staying as true to the recipe as possible, the headwall alt is brewed using german malts, plus german and american hops. like the pale ale, the headwall alt is cold conditioned, dry-hopped and krausened in the bottle or keg. similar to the pale ale, the process takes about 30 days.\t",4.5,25,50,19,42,13,54,62,19,0,25,64,10,135,3.574074,3.888889,3.709877,3.734568,3.820988,81
alt-eration ale,altbier,hops & grain,hops & grain alt-eration ale,notes:,5,25,50,21,43,3,54,54,7,0,10,60,9,111,5,4,4,4,4.5,1
schell's schmaltz's alt,altbier,august schell brewing company,august schell brewing company barrel aged schmaltz's alt,"notes:one of warren's favorite pastimes back in the 30's was a trip to the city dump to shoot rats–so much that it was a common date for him and his wife-to-be, casey. the manager of the city dump was john schmaltz–hence the nickname ""schmaltz"" marti. we hope you enjoy our schmaltz's alt, a creamy smooth dark alt brewed even better than before.\t",5.1,25,50,21,72,9,48,102,25,1,50,43,13,176,3.9125,3.9,3.7375,3.9375,4.075,40
frankenheim alt,altbier,privatbrauerei frankenheim,privatbrauerei frankenheim frankenheim alt,notes:,4.8,25,50,19,43,5,39,43,13,1,6,45,8,97,3.611111,3.948413,3.698413,3.72619,3.853175,126
iron works alt,altbier,metropolitan brewing,metropolitan brewing iron works alt,"notes:an assertively hoppy top-fermented beer, polished by the wisdom and patience of lagering. think of it as an octogenarian with a punk rock attitude. slightly dry, this beer pairs well with hearty cuisine. we also suggest sipping it on its own; the complexity will keep you entertained and happy.45 ibu\t",5.5,25,50,37,50,16,60,84,32,0,46,83,19,121,3.852941,3.970588,4.044118,4,4,34
diebels premium altbier,altbier,brauerei diebels gmbh & co kg,brauerei diebels gmbh & co kg diebels premium altbier,notes:,4.9,25,50,21,27,5,37,33,13,0,13,45,10,70,3.75,3.8125,3.625,3.625,3.875,8
mission amber,altbier,mission brewery,mission brewery mission amber,notes:,5,25,50,24,36,9,59,55,20,2,18,80,7,132,3.588235,3.735294,3.411765,3.588235,3.470588,17
hovels original,altbier,hovels hausbrauerei,hovels hausbrauerei hovels original bitterbier,notes:,5.5,25,50,22,38,10,47,54,10,1,14,68,2,117,3.519231,3.788462,3.711538,3.615385,3.75,26
secret spot alt ale,altbier,evolution craft brewing company,evolution craft brewing company secret spot winter ale,notes:,6.3,25,50,14,53,16,69,67,29,0,23,87,18,103,3.625,3.625,4,4,4.125,4
lighthouse amber,altbier,cheboygan brewing company,cheboygan brewing company lighthouse amber,"notes:our german style alt has a brilliant amber hue, and silky smooth medium body. its light tan head is thick, retaining, and laces the glass all the way down. a noble hop aroma up front finishes with a caramel malt nose. our old world brewing method brings out a light toasted-bread flavor you’ll want to savor again and again. it’s a mouthwatering, thirst quenching delight.\t",5.25,25,50,11,67,5,35,86,21,0,28,54,4,138,4,4,4,4,4,1
serie signature sticke alt,altbier,les trois mousquetaires,les trois mousquetaires serie signature sticke alt,"notes:malts: pilsner, pale, caramel 60, caramel 160/ 74 ibu / hops: magnum, n brewer, hallertauog: 15.3ºp fg:4.3ºp / srm: 19 / 12 month aging\t",6,25,50,17,57,14,96,106,23,0,42,122,11,130,3.916667,4.216667,3.983333,3.916667,3.866667,30
crooked coast altbier,altbier,driftwood brewery,driftwood brewery crooked coast amber ale,"notes:inspired by the original alt-style beer of dusseldorf, crooked coast brings together the aromas of german noble hops and munich malt to produce a very refreshing and mellow ale that is the perfect companion on any shape of coast.\t",5.1,25,50,20,36,7,76,47,39,2,40,100,8,76,3.972222,4.194444,3.833333,4.055556,4.083333,18
gravel road,altbier,rahr & sons brewing company,rahr & sons brewing company gravel road,notes:,7.25,25,50,5,48,6,54,66,11,0,16,52,9,109,3.522727,3.545455,3.795455,3.522727,3.636364,22
little red cap,altbier,grimm brothers brewhouse,grimm brothers brewhouse little red cap,"notes:altbier is german for “old beer”, this refers to the “old” style of brewing using an ale yeast (as opposed to a lager yeast fermentation which is a relatively new process). this beer originated in the westphalia region of germany in a town named dusseldorf. due to the cool climate of dusseldorf, altbiers employee an ale yeast that has evolved over time to ferment at somewhat cooler temperature than that of other ale yeasts. this cool fermentation produces subtle yeast derived esters and leaves a clean malty beer. in addition to this cool clean fermentation, altbiers are then lagered at cold temperatures to help smooth and refine the beer. the result of this is a very clean and hoppy red ale.coming in at 6.2% abv and ibus little red cap is an easy drinking hop forward beer worthy of its heritage. we use a bit of cascade hop to give it an “american twist” while maintaining its german heritage. this beer won a gold medal at the 2011 and 2016 gabf and a bronze at the 2012 gabf. it also won a silver award at the 2016 world beer cup.",5.2,25,50,27,39,18,47,52,28,4,24,59,6,100,3.833333,3.833333,3.833333,3.666667,4,3
festivale,altbier,beau's all natural brewing company,beau's all natural brewing company festivale,"notes:festivale is an amber ale, with balanced high-intensity maltiness and hop presence. caramunich malts give festivale its colour and a rich caramel sweetness. festivale bucks the trend of pale summer beers, offering up amber hues and tastiness for a unique result that is both quaffable and refreshing.40 ibu\t",4.7,25,50,29,30,9,72,77,20,0,20,104,10,141,3.613636,3.886364,3.727273,3.636364,3.681818,22
moby d,altbier,buzzards bay brewing,buzzards bay brewing moby d,notes:,5,25,50,26,37,14,65,57,33,0,33,107,3,98,3.545455,4.136364,3.636364,3.681818,3.909091,11
uber alt,altbier,rush river brewing company,rush river brewing company uber alt,"notes:our alt is a much stronger version of the traditional dusseldorf altbiers. an ancient style from the rhineland, altbiers are ales that were virtually wiped out by german lagers in the 1800’s. we use plenty of european hops and german pilsner malts to brew a remarkably clean beer. we then rest it in the cooler for two months to achieve the mellow finish that is the uberalt’s trademark.\t",8.5,25,50,32,64,28,47,135,49,2,65,55,15,182,3.933333,3.866667,4.266667,4.266667,4.166667,15
fuchschen alt,altbier,brauerei im fuchschen,brauerei im fuchschen im fuchschen alt,notes:,4.5,25,50,33,54,13,52,57,10,0,14,68,15,100,4.095238,4.238095,4.261905,4.214286,4.452381,21
sticke it to the man,altbier,o'fallon brewery,o'fallon brewery sticke it to the man,notes:,7.5,25,50,18,55,50,51,87,22,0,39,47,6,96,3.363636,3.621212,3.515152,3.333333,3.287879,33
evan altmighty,altbier,blue mountain brewery,blue mountain brewery evan altmighty,"notes:34 ibupilsner, carapils and vienna maltshallertau mittelfruh hopsale yeastdeep well water\t",6.6,25,50,21,39,7,40,62,34,0,47,65,5,80,4,3.9,3.9,4,4.1,5
alterior motive,altbier,coast brewing company,coast brewing company alterior motive,"notes:our altbier is crafted after the authentic, or sticke, style that originated in germany. it is extremely malty, aggressively hoppy and cold conditioned for a clean, smooth finish.\t",6.3,25,50,27,61,11,56,61,46,0,40,77,14,110,4.1875,4.0625,4.25,4.25,4.46875,16
the detroit dwarf,altbier,detroit beer co.,detroit beer co. detroit beer co. the detroit dwarf,"notes:""this beer has won a bronze, silver and gold as an alt at the great american beer festival, and now a silver at the world beer cup as an alt.""\t",6.8,25,50,19,57,13,42,68,25,0,29,54,12,70,3.655172,3.931034,3.810345,3.689655,3.827586,29
olde school barleywine,barleywine - american,dogfish head brewery,dogfish head brewery olde school barleywine,"notes:bold, yet smooth! fermented with dates and figs, this bone-crushing barleywine has a unique flavor.85 ibuabv varies from 13-16%.\t",15,60,100,20,55,82,56,170,30,0,107,43,13,62,3.902411,3.932262,3.901837,3.931688,3.704363,871
brewer's reserve bourbon barrel barleywine,barleywine - american,central waters brewing company,central waters brewing company bourbon barrel barleywine,notes:aged for 1 year in used bourbon barrels.\t,14.3,60,100,11,65,94,40,142,25,0,63,23,27,133,4.369205,4.072848,4.193709,4.307947,4.09106,302
old ruffian,barleywine - american,great divide brewing company,great divide brewing company old ruffian barley wine,"notes:old ruffian is a hefty, hop-forward barley wine. seemingly mellow at the start with subtle fruit aromas and complex caramel sweetness, it quickly becomes aggressive with its bold hop flavors and huge hop bitterness. ultimately, the big body, succulent sweetness and massive hop character come together to work wonders on your palate.\t",10.2,60,100,6,55,31,107,97,27,1,57,120,14,119,4.238552,4.318956,4.231629,4.285942,4.071885,939
old horizontal,barleywine - american,victory brewing company,victory brewing company old horizontal,"notes:massive amounts of barley malts, combined with fresh harvest american hops make it aromatic and spicy on the nose. floral, fruity aromas slide into honeyed malt depth with lingering sensations of candied and citrus fruit. late warming alcohol brings all of these flavors into wonderful harmony to finish.malt: imported 2 row german maltshops: whole flower american hopsfood pairings: meat pies and english cheese\t",11,60,100,9,49,45,78,83,36,1,52,97,12,117,4.051918,4.075772,4.084191,4.14406,3.963517,1069
behemoth,barleywine - american,three floyds brewing co. & brewpub,three floyds brewing co. & brewpub behemoth blonde barleywine,"notes:a huge, sweet barleywine with complex caramel malt notes, balanced by generous hopping and a high alcohol content. this fruity and malty beer is best enjoyed while keeping warm in the brutal winter months.80 ibu2005 bottle release - pink wax 2007 bottle release - yellow wax, hands not skull on flat finish label (brewed in nov 06) 2008 bottle release - purple wax 2009 bottle release - blue wax2010 bottle release - green wax2011 bottle release - white wax2011 bottle release - yellow wax, glossy label, skull on label (ohio only)2012 bottle release - red wax2013 bottle release - orange wax2014 bottle release - blue wax2015 bottle release - purple wax2016 bottle release - black metallic wax2017 bottle release - silver wax\t",10.5,60,100,18,71,52,90,125,72,0,101,105,24,105,4.207373,4.123272,4.187788,4.264977,4.059908,434
olde gnarlywine,barleywine - american,lagunitas brewing company,lagunitas brewing company olde gnarlywine,"notes:2011: 10.6% abv, 69 ibu\t",10.9,60,100,14,49,44,47,74,28,0,43,68,17,89,4.052373,4.143208,4.082651,4.12766,4.016367,611
old numbskull,barleywine - american,alesmith brewing company,alesmith brewing company alesmith old numbskull,notes:,11,60,100,14,58,36,52,117,29,0,54,67,13,122,4.176471,4.082633,4.137255,4.221289,4.102241,357
flying mouflan,barleywine - american,troegs brewing company,troegs brewing company flying mouflan,notes:this strong alluring ale is two beers in one. cracking open a fresh bottle unleashes hops and heat with more than 100 ibus emanating from three hop varieties and sweet burn of 9.3% abv. cellaring the flying mouflan in a cool dark place at 50 degrees for a minimum of four months will mellow out the hops and wash away the heat. if you can resist temptation you will be rewarded with two memorable beers in a single bottle.\t,9.3,60,100,17,74,41,66,143,38,1,78,72,11,130,4.134783,4.133696,4.141304,4.23587,4.083696,460
xs old crustacean,barleywine - american,rogue ales,rogue ales xs old crustacean,"notes:formerly ""old crustacean""8 ingredients:hugh baird carastan and rogue micro barley farm daretm & risktm malts; chinook and rogue micro hopyard revolution & freedom hops, pacman yeast & free range coastal water.25º plato110 ibu83 aa57º lovibond\t",11.5,60,100,13,51,35,88,80,41,0,65,86,14,83,4.094595,4.024182,4.061166,4.064011,3.738265,703
doggie claws,barleywine - american,hair of the dog brewing company / brewery and tasting room,hair of the dog brewing company / brewery and tasting room doggie claws,"notes:""a barley wine made in the west coast style. big malt and hops make this copper colored ale one of our most popular products. produced in september and october and released in november, this beer will improve for years to come. alcohol: 11.5% by volume. ibu's 70""\t",11.5,60,100,14,55,34,66,102,36,1,53,82,22,98,4.197168,3.980392,4.022876,4.253813,4.021786,459
helldorado,barleywine - american,firestone walker brewing co.,firestone walker brewing co. helldorado,"notes:part of the adventure of aging beer in retired spirits barrels is the synergistic interaction of different malt flavors with the oak and spirit flavors from the barrel. darker beers like stouts and darker barley wines have typically been the favored candidates for barrel-aging, due to their deeper caramel and roasted flavors. helldorado breaks that mold with a deep golden color from being brewed solely with english and american pale malts. the bready, honeyed flavors of pale malts pull out rich wildflower honey, vanilla and coconut notes from the oak, creating an overall flavor evocative of bourbon-glazed graham crackers that stands as singularly unique in our vintage lineup.\t",12.8,60,100,6,39,56,25,101,23,5,45,48,21,134,4.5,4,4,4.5,4.5,1
cockeyed cooper,barleywine - american,uinta brewing company,uinta brewing company cockeyed cooper,notes:aged in bourbon barrels.65 ibu\t,11.1,60,100,12,62,66,38,52,20,0,32,42,22,103,3.943333,4.086667,3.843333,3.88,3.813333,150
solstice d'hiver,barleywine - american,brasserie dieu du ciel,brasserie dieu du ciel solstice d'hiver,"notes:this noble winter beer is brown in colour with flaming red highlights. it has a complex aroma of fruits, alcohol and hops. its taste is delicately sweet and liquor-like with a hint of burnt caramel. it is a very bitter beer with aromas and flavours reminiscent of red fruit. the aftertaste is accentuated by the wonderful flavour of hops.\t",10.2,60,100,23,54,61,70,125,33,0,54,62,22,119,3.905172,3.912069,3.881034,3.927586,3.817241,290
anniversary barley wine ale,barleywine - american,uinta brewing company,uinta brewing company anniversary barley wine,"notes:rich and complex, this all malt barley wine exhibits hints of dried fruits, toffee and caramel balanced by an abundance of american hops.72 ibu\t",10.4,60,100,7,47,39,64,97,27,1,46,67,2,110,3.892606,3.924296,3.77993,3.818662,3.769366,284
barleywine style ale,barleywine - american,green flash brewing co.,green flash brewing co. barleywine style ale,notes:,10.9,60,100,12,44,35,70,74,39,1,45,81,17,99,3.883954,4.101719,3.89255,3.84384,3.732092,349
lower de boom barleywine,barleywine - american,21st amendment brewery,21st amendment brewery lower da boom barleywine,notes:,11.5,60,100,11,60,47,67,110,73,2,120,98,6,100,3.714286,3.785714,3.785714,3.428571,3.5,7
killer penguin barleywine,barleywine - american,boulder beer / wilderness pub,boulder beer / wilderness pub killer penguin barleywine,"notes:this limited, small-batch release is dark garnet red in color with a candied-fruit like aroma and flavor. at 10% abv, killer penguin is a big barleywine that comes across very smooth and extremely balanced -- the perfect beer to share among friends.\t",10,60,100,8,34,33,29,70,28,0,41,35,4,67,3.616883,3.852814,3.595238,3.521645,3.573593,231
great,barleywine - american,alpine beer company,alpine beer company great,"notes:the base of this beer was available at a couple of festivals as a barleywine named ""good"". the remainder of the batch spent several months aging in fresh jack daniels barrels and became ""great"".\t",14,60,100,8,47,36,14,81,14,0,35,10,10,76,4.470588,3.890756,4.205882,4.5,4.163866,119
griffin's bowboston beer company (samuel adams),barleywine - american,boston beer company (samuel adams),boston beer company (samuel adams) griffin's bow,"notes:from the aroma and notes of sweet honeysuckle, pineapple, and grapefruit, to richer hints of burnt sugar, and toffee, this intriguing brew is full of complex flavors. the distinct character of toasted oak adds depth and contrasts the light fruit sweetness. this unique take on a barley wine ale surprises with its smoothness and balance of fruit, hop citrus, and warmth.hops: nelson sauvin, zeusmalts: two-row harrington, metcalfe, copeland pale, paul’s caramaltaged on toasted oak\t",11.5,60,100,5,65,41,60,146,78,0,117,71,25,104,3.557471,3.833333,3.586207,3.442529,3.465517,87
sisyphus,barleywine - american,real ale brewing company,real ale brewing company sisyphus,notes:,11.5,60,100,11,68,37,80,109,67,0,83,96,5,87,3.877622,3.914336,3.909091,3.903846,3.826923,286
gratitude,barleywine - american,east end brewing company,east end brewing company gratitude,"notes:a limited edition barleywine style ale, brewed in november in the american tradition and hand packaged to specially commemorate the anniversary of the brewery each year.gratitude wax colors:2005-red wax2006-orange wax2007-yellow wax2008-green wax2009-blue wax2010-indigo wax2011-no wax, blank cap (flatitude)2012-no wax, ""12"" on cap (flatitude)2013-violet wax2014 - red wax, label made to look like paper\t",11.5,60,100,10,69,31,66,124,43,1,60,77,10,108,4.278646,4.161458,4.205729,4.369792,4.174479,192
barleywine ale,barleywine - american,the duck-rabbit craft brewery,the duck-rabbit craft brewery duck-rabbit barleywine ale,"notes:the duck-rabbit barleywine is the hoppiest of all the duck-rabbit brews. this is a farmville-style barleywine, crafted the way brewers in farmville have always done. loads of amarillo hops give a piney citrusy bitterness that's supported beautifully by a toffee malt backbone.\t",11,60,100,14,57,43,86,86,36,1,61,96,16,95,3.931973,4.044218,3.829932,3.809524,3.721088,294
the vermonster,barleywine - american,rock art brewery,rock art brewery vermonster,notes:we brewed the vermonster with 110 pounds of malt per barrel and jacked up the pour into a wide mouth thin glass goblet.\t,10,60,100,34,41,29,86,50,28,0,34,114,9,83,3.923267,3.975248,3.861386,3.910891,3.816832,202
smuttynose barleywine style ale (big beer series),barleywine - american,smuttynose brewing company,smuttynose brewing company smuttynose barleywine style ale (big beer series),"notes:first brewed in england, these potent, malty monsters were frequently aged before being put into small bottles and sold as strong beers or even medicinal tonics. the american version has been blown up with more alcohol, larger bottles and more hops.smuttynose barleywine straddles these two branches of the barleywine tree. when you taste it, you’ll notice deep, rich caramel malt flavors, balanced with hop bitterness. fruity hop flavors act as a garnish for its amped-up but classic flavor. for a more refined experience, tuck a few bottles away for a year or two. the alcohol will mellow and the hop aromas will fade into the background, leaving the luscious malt to shine on its own.65 ibu2007 - 11.4%2009 - 11.1%\t",11.6,60,100,11,75,43,89,89,46,0,54,106,17,97,3.995327,3.96729,3.929907,4.004673,3.847352,321
john barleycorn barleywine ale,barleywine - american,mad river brewing company,mad river brewing company john barleycorn barleywine ale,notes:same recipe each year. abv varies slightly 9.5-11.0%\t,11.4,60,100,12,71,61,57,98,48,1,59,59,14,89,3.730892,3.756369,3.789809,3.714968,3.673567,314
barrel aged behemoth,barleywine - american,three floyds brewing co. & brewpub,three floyds brewing co. & brewpub barrel aged behemoth,notes:american barleywine aged in woodford reserve bourbon barrels.\t,12.5,60,100,13,58,66,38,86,36,0,61,42,35,92,4.348485,4,4.333333,4.469697,4.287879,33
old ruffian - barrel-aged,barleywine - american,great divide brewing company,great divide brewing company barrel aged old ruffian,notes:,12.7,60,100,18,67,94,43,134,34,0,57,53,32,132,4.160714,3.845238,3.952381,4.136905,3.97619,84
# 100,barleywine - american,nøgne ø - det kompromissløse bryggeri a/s,nøgne ø - det kompromissløse bryggeri a/s # 100,"notes:23,5° p, 80 ibu.first brewed to celebrate the 100th batch. ingredients: maris otter, wheat, and chocolate malt; columbus, chinook, and centennial hops; english ale yeast, and our local grimstad water.\t",10,60,100,18,70,43,85,92,26,1,53,95,15,113,4.013761,4.15367,4.084862,4.094037,3.961009,218
old numbskull - bourbon barrel-aged,barleywine - american,alesmith brewing company,alesmith brewing company alesmith old numbskull - barrel aged,"notes:a west coast style barleywine. a huge malt profile and a very aggressive dose of premium domestic hops give old numbskull a tantalizing complexity, from the aroma to the aftertaste. a year spent in bourbon barrels adds amazing depth and complexity.\t",11,60,100,9,57,67,26,113,20,0,36,23,25,132,4.34127,4.071429,4.301587,4.349206,4.198413,63
devil's milk,barleywine - american,duclaw brewing company,duclaw brewing company devil's milk,"notes:our award winning barleywine will seduce you with its assertive hop bill (that changes each year to make each vintage unique), citrus flavors, and warming 10% abv. devil’s milk is best served in a snifter to accommodate its abv and allow complex flavors to emerge as it warms in your hands.\t",10,60,100,15,73,45,78,125,80,2,122,117,9,103,3.844156,3.948052,3.896104,3.896104,3.785714,77
big worse,barleywine - american,mikkeller aps,mikkeller aps big worse,"notes:brewed at de proefbrouwerij.ingredients: water, malt (pils and caramunich), candy sugar, hops (nugget, cascade and centennial) and ale yeast.\t",12,60,100,14,50,58,67,137,71,0,110,79,12,114,3.894737,3.62201,3.688995,3.825359,3.600478,209
chicken killer barley wine,barleywine - american,santa fe brewing company,santa fe brewing company chicken killer barley wine,"notes:chicken killer barley wine is the revolutionary beer that will someday define america's unique barley wine style. it is brewed with twice the ingredients of the santa fe brewing company's other beers, and only half the usual amount of liquid is extracted from these ingredients. this makes one substantial beer. at over ten percent alcohol, chicken killer is actually as substantial as wine, but this is not to say that it is difficult to drink. on the contrary; be careful with this one. the flavors of the beer are at first as overwhelming as the intense santa fe sun. but in the same way our sun gives us the unrivaled brilliant colors of santa fe, the potency of chicken killer gives us the remarkable spectrum of flavors that can be found in no other beer, in no other city. if you did not have the opportunity to try last year's vintage, come try this year's!\t",10,60,100,13,41,40,61,85,38,0,47,61,4,104,3.566667,3.925926,3.7,3.607407,3.544444,135
olde bluehair barley wine,barleywine - american,big sky brewing company,big sky brewing company olde bluehair - barrel aged,notes:75 ibu\t,12,60,100,10,53,63,53,71,22,1,32,56,23,114,3.979452,3.986301,3.876712,4.068493,3.917808,73
old blarney barleywine,barleywine - american,moylan's brewery,moylan's brewery old blarney barleywine,notes:,10,60,100,14,66,38,61,107,39,0,64,69,6,119,3.884783,4.026087,3.936957,3.884783,3.821739,230
druid fluid,barleywine - american,"middle ages brewing co., ltd.","middle ages brewing co., ltd. druid fluid",notes:,9.5,60,100,25,55,39,90,116,56,3,88,105,4,102,3.945607,4.012552,3.958159,3.943515,3.834728,239
